id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalie.lastName.de,winningGoalie.lastName.sv,awayTeam.commonName.fr,homeTeam.commonName.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.parentId,specialEvent.name.default,specialEvent.name.fr,periodDescriptor.otPeriods,venue.sv,winningGoalScorer.playerId,tricode_winteam
2017020001,20172018,2,2017-10-04,False,2017-10-04T23:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,7,52,Jets,Winnipeg,de Winnipeg,WPG,2,3,REG,3,REG,8475883.0,,,,,,,,,,,,,,,,,,,,TOR
2017020002,20172018,2,2017-10-04,False,2017-10-05T00:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,5,5,Penguins,Pittsburgh,de Pittsburgh,PIT,4,4,OT,3,OT,8474596.0,,,,,,,,,,,,,,,,,,,,STL
2017020003,20172018,2,2017-10-04,False,2017-10-05T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,20,Flames,Calgary,de Calgary,CGY,0,22,Oilers,Edmonton,d'Edmonton,EDM,3,3,REG,3,REG,8475660.0,,,,,,,,,,,,,,,,,,,,EDM
2017020004,20172018,2,2017-10-04,False,2017-10-05T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,5,28,Sharks,San Jose,de San Jose,SJS,3,3,REG,3,REG,8470880.0,,,,,,,,,,,,,,,,,,,,PHI
2017020006,20172018,2,2017-10-05,False,2017-10-05T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,3,7,Sabres,Buffalo,de Buffalo,BUF,2,5,SO,3,SO,8471679.0,,,,,,,,,,,,,,,,,,,,MTL
2017020007,20172018,2,2017-10-05,False,2017-10-05T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,4,3,Rangers,New York,de New York,NYR,2,3,REG,3,REG,8473575.0,,,,,,,,,,,,,,,,,,,,COL
2017020005,20172018,2,2017-10-05,False,2017-10-05T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,18,Predators,Nashville,de Nashville,NSH,3,6,Bruins,Boston,de Boston,BOS,4,3,REG,3,REG,8471695.0,,,,,,,,,,,,,,,,,,,,BOS
2017020008,20172018,2,2017-10-05,False,2017-10-05T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,15,Capitals,Washington,de Washington,WSH,5,9,Senators,Ottawa,d'Ottawa,OTT,4,5,SO,3,SO,8474651.0,,,,Sénateurs,,,,,,,,,,,,,,,,WSH
2017020009,20172018,2,2017-10-05,False,2017-10-05T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,2,17,Red Wings,Detroit,de Detroit,DET,4,3,REG,3,REG,8470657.0,,,,,,,,,,,,,,,,,,,,DET
2017020010,20172018,2,2017-10-05,False,2017-10-06T00:30:00Z,-04:00,-05:00,America/Chicago,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,1,16,Blackhawks,Chicago,de Chicago,CHI,10,3,REG,3,REG,8470645.0,,,,,,,,,,,,,,,,,,,,CHI
2017020012,20172018,2,2017-10-05,False,2017-10-06T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,0,26,Kings,Los Angeles,de Los Angeles,LAK,2,3,REG,3,REG,8471734.0,,,,,,,,,,,,,,,,,,,,LAK
2017020011,20172018,2,2017-10-05,False,2017-10-06T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,53,Coyotes,Arizona,de l'Arizona,ARI,4,24,Ducks,Anaheim,d'Anaheim,ANA,5,3,REG,3,REG,8476434.0,,,,,,,,,,,,,,,,,,,,ANA
2017020013,20172018,2,2017-10-06,False,2017-10-06T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,2,Islanders,New York,de New York,NYI,0,29,Blue Jackets,Columbus,de Columbus,CBJ,5,3,REG,3,REG,8475683.0,,,,,,,,,,,,,,,,,,,,CBJ
2017020014,20172018,2,2017-10-06,False,2017-10-06T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,3,14,Lightning,Tampa Bay,de Tampa Bay,TBL,5,3,REG,3,REG,8476883.0,,,,,,,,,,,,,,,,,,,,TBL
2017020015,20172018,2,2017-10-06,False,2017-10-07T00:30:00Z,-04:00,-05:00,US/Central,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,2,25,Stars,Dallas,de Dallas,DAL,1,3,REG,3,REG,8470594.0,,,,,,,,,,,,,,,,,,,,VGK
2017020019,20172018,2,2017-10-07,False,2017-10-07T18:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,1,1,Devils,New Jersey,du New Jersey,NJD,4,3,REG,3,REG,8471239.0,,,,,,,,,,,,,,,,,,,,NJD
2017020021,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,18,Predators,Nashville,de Nashville,NSH,0,5,Penguins,Pittsburgh,de Pittsburgh,PIT,4,3,REG,3,REG,8476899.0,,,,,,,,,,,,,,,,,,,,PIT
2017020022,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,1,15,Capitals,Washington,de Washington,WSH,6,3,REG,3,REG,8474651.0,,,,,,,,,,,,,,,,,,,,WSH
2017020023,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,4,12,Hurricanes,Carolina,de la Caroline,CAR,5,5,SO,3,SO,8474152.0,,,,,,,,,,,,,,,,,,,,CAR
2017020017,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,2,9,Senators,Ottawa,d'Ottawa,OTT,1,5,SO,3,SO,8470657.0,,,,Sénateurs,,,,,,,,,,,,,,,,DET
2017020018,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4,13,Panthers,Florida,de la Floride,FLA,5,3,REG,3,REG,8473503.0,,,,,,,,,,,,,,,,,,,,FLA
2017020020,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,3,2,Islanders,New York,de New York,NYI,6,3,REG,3,REG,8470860.0,,,,,,,,,,,,,,,,,,,,NYI
2017020016,20172018,2,2017-10-07,False,2017-10-07T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,3,Rangers,New York,de New York,NYR,5,10,Maple Leafs,Toronto,de Toronto,TOR,8,3,REG,3,REG,8475883.0,,,,,,,,,,,,,,,,,,,,TOR
2017020024,20172018,2,2017-10-07,False,2017-10-08T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,25,Stars,Dallas,de Dallas,DAL,2,19,Blues,St. Louis,de St. Louis,STL,4,3,REG,3,REG,8474596.0,,,,,,,,,,,,,,,,,,,,STL
2017020025,20172018,2,2017-10-07,False,2017-10-08T00:30:00Z,-04:00,-05:00,America/Chicago,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,1,16,Blackhawks,Chicago,de Chicago,CHI,5,3,REG,3,REG,8470645.0,,,,,,,,,,,,,,,,,,,,CHI
2017020026,20172018,2,2017-10-07,False,2017-10-08T01:00:00Z,-04:00,-07:00,America/Phoenix,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,2,53,Coyotes,Arizona,de l'Arizona,ARI,1,4,OT,3,OT,8470594.0,,,,,,,,,,,,,,,,,,,,VGK
2017020029,20172018,2,2017-10-07,False,2017-10-08T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,3,24,Ducks,Anaheim,d'Anaheim,ANA,2,4,OT,3,OT,8470880.0,,,,,,,,,,,,,,,,,,,,PHI
2017020027,20172018,2,2017-10-07,False,2017-10-08T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,3,20,Flames,Calgary,de Calgary,CGY,6,3,REG,3,REG,8469608.0,,,,,,,,,,,,,,,,,,,,CGY
2017020028,20172018,2,2017-10-07,False,2017-10-08T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,22,Oilers,Edmonton,d'Edmonton,EDM,2,23,Canucks,Vancouver,de Vancouver,VAN,3,3,REG,3,REG,8474593.0,,Markström,,,,,,,,,,,,,,,,,,VAN
2017020030,20172018,2,2017-10-07,False,2017-10-08T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,4,28,Sharks,San Jose,de San Jose,SJS,1,3,REG,3,REG,8471734.0,,,,,,,,,,,,,,,,,,,,LAK
2017020031,20172018,2,2017-10-08,False,2017-10-08T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,0,3,Rangers,New York,de New York,NYR,2,3,REG,3,REG,8468685.0,,,,,,,,,,,,,,,,,,,,NYR
2017020032,20172018,2,2017-10-09,False,2017-10-09T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,4,6,Bruins,Boston,de Boston,BOS,0,3,REG,3,REG,8473575.0,,,,,,,,,,,,,,,,,,,,COL
2017020033,20172018,2,2017-10-09,False,2017-10-09T17:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,3,2,Islanders,New York,de New York,NYI,2,5,SO,3,SO,8474596.0,,,,,,,,,,,,,,,,,,,,STL
2017020034,20172018,2,2017-10-09,False,2017-10-09T19:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,6,7,Sabres,Buffalo,de Buffalo,BUF,2,3,REG,3,REG,8471239.0,,,,,,,,,,,,,,,,,,,,NJD
2017020035,20172018,2,2017-10-09,False,2017-10-09T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,3,10,Maple Leafs,Toronto,de Toronto,TOR,4,4,OT,3,OT,8475883.0,,,,,,,,,,,,,,,,,,,,TOR
2017020036,20172018,2,2017-10-09,False,2017-10-09T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,15,Capitals,Washington,de Washington,WSH,3,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4,4,OT,3,OT,8476883.0,,,,,,,,,,,,,,,,,,,,TBL
2017020037,20172018,2,2017-10-09,False,2017-10-10T01:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,5,22,Oilers,Edmonton,d'Edmonton,EDM,2,3,REG,3,REG,8476945.0,,,,,,,,,,,,,,,,,,,,WPG
2017020038,20172018,2,2017-10-09,False,2017-10-10T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,20,Flames,Calgary,de Calgary,CGY,2,24,Ducks,Anaheim,d'Anaheim,ANA,0,3,REG,3,REG,8469608.0,,,,,,,,,,,,,,,,,,,,CGY
2017020039,20172018,2,2017-10-10,False,2017-10-10T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,3,3,Rangers,New York,de New York,NYR,1,3,REG,3,REG,8475622.0,,,,,,,,,,,,,,,,,,,,STL
2017020040,20172018,2,2017-10-10,False,2017-10-10T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,2,12,Hurricanes,Carolina,de la Caroline,CAR,1,4,OT,3,OT,8475683.0,,,,,,,,,,,,,,,,,,,,CBJ
2017020041,20172018,2,2017-10-10,False,2017-10-10T23:30:00Z,-04:00,-04:00,America/Montreal,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,3,8,Canadiens,Montréal,de Montréal,MTL,1,3,REG,3,REG,8470645.0,,,,,,,,,,,,,,,,,,,,CHI
2017020042,20172018,2,2017-10-10,False,2017-10-11T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,5,18,Predators,Nashville,de Nashville,NSH,6,3,REG,3,REG,8471469.0,,,,,,,,,,,,,,,,,,,,NSH
2017020043,20172018,2,2017-10-10,False,2017-10-11T00:30:00Z,-04:00,-05:00,US/Central,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,2,25,Stars,Dallas,de Dallas,DAL,4,3,REG,3,REG,8471750.0,,,,,,,,,,,,,,,,,,,,DAL
2017020045,20172018,2,2017-10-10,False,2017-10-11T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,53,Coyotes,Arizona,de l'Arizona,ARI,2,54,Golden Knights,Vegas,de Vegas,VGK,5,3,REG,3,REG,8470594.0,,,,,,,,,,,,,,,,,,,,VGK
2017020044,20172018,2,2017-10-10,False,2017-10-11T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,3,23,Canucks,Vancouver,de Vancouver,VAN,2,5,SO,3,SO,8467950.0,,,Sénateurs,,,,,,,,,,,,,,,,,OTT
2017020047,20172018,2,2017-10-11,False,2017-10-11T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,3,15,Capitals,Washington,de Washington,WSH,2,3,REG,3,REG,8476899.0,,,,,,,,,,,,,,,,,,,,PIT
2017020046,20172018,2,2017-10-11,False,2017-10-11T23:30:00Z,-04:00,-04:00,America/Toronto,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,6,10,Maple Leafs,Toronto,de Toronto,TOR,3,3,REG,3,REG,8471239.0,,,,,,,,,,,,,,,,,,,,NJD
2017020048,20172018,2,2017-10-11,False,2017-10-12T01:30:00Z,-04:00,-06:00,America/Denver,OFF,OK,6,Bruins,Boston,de Boston,BOS,3,21,Avalanche,Colorado,du Colorado,COL,6,3,REG,3,REG,8473575.0,,,,,,,,,,,,,,,,,,,,COL
2017020049,20172018,2,2017-10-11,False,2017-10-12T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,2,Islanders,New York,de New York,NYI,2,24,Ducks,Anaheim,d'Anaheim,ANA,3,3,REG,3,REG,8476434.0,,,,,,,,,,,,,,,,,,,,ANA
2017020050,20172018,2,2017-10-11,False,2017-10-12T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,20,Flames,Calgary,de Calgary,CGY,4,26,Kings,Los Angeles,de Los Angeles,LAK,3,4,OT,3,OT,8469608.0,,,,,,,,,,,,,,,,,,,,CGY
2017020051,20172018,2,2017-10-12,False,2017-10-12T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,4,14,Lightning,Tampa Bay,de Tampa Bay,TBL,5,3,REG,3,REG,8476883.0,,,,,,,,,,,,,,,,,,,,TBL
2017020052,20172018,2,2017-10-12,False,2017-10-12T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,2,13,Panthers,Florida,de la Floride,FLA,5,3,REG,3,REG,8466141.0,,,,,,,,,,,,,,,,,,,,FLA
2017020053,20172018,2,2017-10-12,False,2017-10-13T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,25,Stars,Dallas,de Dallas,DAL,1,18,Predators,Nashville,de Nashville,NSH,4,3,REG,3,REG,8471469.0,,,,,,,,,,,,,,,,,,,,NSH
2017020054,20172018,2,2017-10-12,False,2017-10-13T00:30:00Z,-04:00,-05:00,America/Chicago,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,5,16,Blackhawks,Chicago,de Chicago,CHI,2,3,REG,3,REG,8471227.0,,,,,,,,,,,,,,,,,,,,MIN
2017020056,20172018,2,2017-10-12,False,2017-10-13T02:00:00Z,-04:00,-07:00,America/Phoenix,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,4,53,Coyotes,Arizona,de l'Arizona,ARI,2,3,REG,3,REG,8470657.0,,,,,,,,,,,,,,,,,,,,DET
2017020055,20172018,2,2017-10-12,False,2017-10-13T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,4,23,Canucks,Vancouver,de Vancouver,VAN,2,3,REG,3,REG,8476945.0,,,,,,,,,,,,,,,,,,,,WPG
2017020057,20172018,2,2017-10-12,False,2017-10-13T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,2,28,Sharks,San Jose,de San Jose,SJS,3,3,REG,3,REG,8474889.0,,,,,,,,,,,,,,,,,,,,SJS
2017020058,20172018,2,2017-10-13,False,2017-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,15,Capitals,Washington,de Washington,WSH,5,1,Devils,New Jersey,du New Jersey,NJD,2,3,REG,3,REG,8474651.0,,,,,,,,,,,,,,,,,,,,WSH
2017020059,20172018,2,2017-10-13,False,2017-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,3,Rangers,New York,de New York,NYR,1,29,Blue Jackets,Columbus,de Columbus,CBJ,3,3,REG,3,REG,8475683.0,,,,,,,,,,,,,,,,,,,,CBJ
2017020061,20172018,2,2017-10-13,False,2017-10-14T01:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,6,20,Flames,Calgary,de Calgary,CGY,0,3,REG,3,REG,8467950.0,,,Sénateurs,,,,,,,,,,,,,,,,,OTT
2017020060,20172018,2,2017-10-13,False,2017-10-14T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,1,21,Avalanche,Colorado,du Colorado,COL,3,3,REG,3,REG,8473541.0,,,,,,,,,,,,,,,,,,,,COL
2017020062,20172018,2,2017-10-13,False,2017-10-14T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,6,54,Golden Knights,Vegas,de Vegas,VGK,3,3,REG,3,REG,8475852.0,,,,,,,,,,,,,,,,,,,,DET
2017020066,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,15,Capitals,Washington,de Washington,WSH,2,4,Flyers,Philadelphia,de Philadelphie,PHI,8,3,REG,3,REG,8470880.0,,,,,,,,,,,,,,,,,,,,PHI
2017020065,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,3,3,Rangers,New York,de New York,NYR,2,3,REG,3,REG,8476234.0,,,,,,,,,,,,,,,,,,,,NJD
2017020063,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,4,8,Canadiens,Montréal,de Montréal,MTL,3,4,OT,3,OT,8475883.0,,,,,,,,,,,,,,,,,,,,TOR
2017020067,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,3,5,Penguins,Pittsburgh,de Pittsburgh,PIT,4,3,REG,3,REG,8476899.0,,,,,,,,,,,,,,,,,,,,PIT
2017020064,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,1,14,Lightning,Tampa Bay,de Tampa Bay,TBL,2,3,REG,3,REG,8476883.0,,,,,,,,,,,,,,,,,,,,TBL
2017020068,20172018,2,2017-10-14,False,2017-10-14T23:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,12,Hurricanes,Carolina,de la Caroline,CAR,1,52,Jets,Winnipeg,de Winnipeg,WPG,2,3,REG,3,REG,8476945.0,,,,,,,,,,,,,,,,,,,,WPG
2017020069,20172018,2,2017-10-14,False,2017-10-15T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,1,25,Stars,Dallas,de Dallas,DAL,3,3,REG,3,REG,8471750.0,,,,,,,,,,,,,,,,,,,,DAL
2017020070,20172018,2,2017-10-14,False,2017-10-15T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,5,30,Wild,Minnesota,du Minnesota,MIN,4,4,OT,3,OT,8475683.0,,,,,,,,,,,,,,,,,,,,CBJ
2017020071,20172018,2,2017-10-14,False,2017-10-15T00:30:00Z,-04:00,-05:00,America/Chicago,OFF,OK,18,Predators,Nashville,de Nashville,NSH,1,16,Blackhawks,Chicago,de Chicago,CHI,2,4,OT,3,OT,8470645.0,,,,,,,,,,,,,,,,,,,,CHI
2017020072,20172018,2,2017-10-14,False,2017-10-15T01:00:00Z,-04:00,-07:00,America/Phoenix,OFF,OK,6,Bruins,Boston,de Boston,BOS,6,53,Coyotes,Arizona,de l'Arizona,ARI,2,3,REG,3,REG,8471418.0,,,,,,,,,,,,,,,,,,,,BOS
2017020073,20172018,2,2017-10-14,False,2017-10-15T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,6,22,Oilers,Edmonton,d'Edmonton,EDM,1,3,REG,3,REG,8477237.0,,,Sénateurs,,,,,,,,,,,,,,,,,OTT
2017020074,20172018,2,2017-10-14,False,2017-10-15T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,20,Flames,Calgary,de Calgary,CGY,5,23,Canucks,Vancouver,de Vancouver,VAN,2,3,REG,3,REG,8469608.0,,,,,,,,,,,,,,,,,,,,CGY
2017020076,20172018,2,2017-10-14,False,2017-10-15T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,2,Islanders,New York,de New York,NYI,3,28,Sharks,San Jose,de San Jose,SJS,1,3,REG,3,REG,8471306.0,,,,,,,,,,,,,,,,,,,,NYI
2017020075,20172018,2,2017-10-14,False,2017-10-15T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,2,26,Kings,Los Angeles,de Los Angeles,LAK,4,3,REG,3,REG,8471734.0,,,,,,,,,,,,,,,,,,,,LAK
2017020077,20172018,2,2017-10-15,False,2017-10-15T23:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,6,Bruins,Boston,de Boston,BOS,1,54,Golden Knights,Vegas,de Vegas,VGK,3,3,REG,3,REG,8476876.0,,,,,,,,,,,,,,,,,,,,VGK
2017020078,20172018,2,2017-10-15,False,2017-10-16T01:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,3,24,Ducks,Anaheim,d'Anaheim,ANA,1,3,REG,3,REG,8473434.0,,,,,,,,,,,,,,,,,,,,BUF
2017020079,20172018,2,2017-10-15,False,2017-10-16T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,2,Islanders,New York,de New York,NYI,2,26,Kings,Los Angeles,de Los Angeles,LAK,3,3,REG,3,REG,8475311.0,,,,,,,,,,,,,,,,,,,,LAK
2017020080,20172018,2,2017-10-16,False,2017-10-16T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,3,17,Red Wings,Detroit,de Detroit,DET,2,3,REG,3,REG,8476883.0,,,,,,,,,,,,,,,,,,,,TBL
2017020084,20172018,2,2017-10-17,False,2017-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,2,15,Capitals,Washington,de Washington,WSH,0,3,REG,3,REG,8475883.0,,,,,,,,,,,,,,,,,,,,TOR
2017020083,20172018,2,2017-10-17,False,2017-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,1,4,Flyers,Philadelphia,de Philadelphie,PHI,5,3,REG,3,REG,8473607.0,,,,,,,,,,,,,,,,,,,,PHI
2017020082,20172018,2,2017-10-17,False,2017-10-17T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,5,3,Rangers,New York,de New York,NYR,4,4,OT,3,OT,8476899.0,,,,,,,,,,,,,,,,,,,,PIT
2017020085,20172018,2,2017-10-17,False,2017-10-17T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,3,9,Senators,Ottawa,d'Ottawa,OTT,0,3,REG,3,REG,8475195.0,,,,Sénateurs,,,,,,,,,,,,,,,,VAN
2017020081,20172018,2,2017-10-17,False,2017-10-17T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4,1,Devils,New Jersey,du New Jersey,NJD,5,5,SO,3,SO,8471239.0,,,,,,,,,,,,,,,,,,,,NJD
2017020087,20172018,2,2017-10-17,False,2017-10-18T00:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,5,52,Jets,Winnipeg,de Winnipeg,WPG,2,3,REG,3,REG,8476914.0,,,,,,,,,,,,,,,,,,,,CBJ
2017020086,20172018,2,2017-10-17,False,2017-10-18T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,1,18,Predators,Nashville,de Nashville,NSH,4,3,REG,3,REG,8471469.0,,,,,,,,,,,,,,,,,,,,NSH
2017020088,20172018,2,2017-10-17,False,2017-10-18T00:30:00Z,-04:00,-05:00,US/Central,OFF,OK,53,Coyotes,Arizona,de l'Arizona,ARI,1,25,Stars,Dallas,de Dallas,DAL,3,3,REG,3,REG,8471750.0,,,,,,,,,,,,,,,,,,,,DAL
2017020089,20172018,2,2017-10-17,False,2017-10-18T01:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,12,Hurricanes,Carolina,de la Caroline,CAR,5,22,Oilers,Edmonton,d'Edmonton,EDM,3,3,REG,3,REG,8470320.0,,,,,,,,,,,,,,,,,,,,CAR
2017020090,20172018,2,2017-10-17,False,2017-10-18T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,4,54,Golden Knights,Vegas,de Vegas,VGK,5,4,OT,3,OT,8476876.0,,,,,,,,,,,,,,,,,,,,VGK
